fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
6824,BR2 8JW,ONS,542188,166876,0,0,0.041868120000000,51.383130000000001,73,42,31,24,E01000661,Bromley 026A,E00003212,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.898208348000000,5.000000000000000,,,,"80",./4.png
6825,BR2 8JX,ONS,542221,167141,0,0,0.042448040000000,51.385500000000000,76,44,32,28,E01000661,Bromley 026A,E00003208,"3",Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.731866291000000,5.000000000000000,,,,"83",./4.png
6826,BR2 8JY,ONS,542208,167337,0,0,0.042339760000000,51.387270000000001,102,52,50,54,E01000661,Bromley 026A,E00003196,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,2.271492856000000,4.000000000000000,,,,"112",./3.png
6827,BR2 8JZ,ONS,542210,167297,0,0,0.042352480000000,51.386910000000000,16,6,10,8,E01000661,Bromley 026A,E00003208,"3",Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.731866291000000,5.000000000000000,,,,"18",./0.png
6897,BR2 8QX,ONS,542300,167461,0,0,0.043710680000000,51.388359999999999,4,2,2,1,E01000662,Bromley 026B,E00003198,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.337467509000000,3.000000000000000,,,,"4",./0.png
6972,BR2 9FB,ONS,542069,167518,0,0,0.040415860000000,51.388930000000002,21,12,9,9,E01000661,Bromley 026A,E00003205,"3",Ethnicity Central,3c,Ethnic Dynamics,3c1,Constrained Neighbourhoods,,"50","2184",1,,,4.503961173000000,5.000000000000000,5.386721969000000,5.000000000000000,,,,"23",./0.png
7047,BR2 9PJ,ONS,542068,167557,0,0,0.040417080000000,51.389279999999999,108,52,56,50,E01000669,Bromley 020C,E00003200,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"8","25534",8,,,-1.228387154000000,3.000000000000000,-0.960489906000000,3.000000000000000,,,,"118",./3.png
7052,BR2 9PR,ONS,542050,167610,0,0,0.040179750000000,51.389760000000003,19,8,11,12,E01000669,Bromley 020C,E00003195,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"8","25534",8,,,-1.228387154000000,3.000000000000000,-0.240810461000000,3.000000000000000,,,,"21",./0.png
7056,BR2 9PX,ONS,542148,167601,0,0,0.041583660000000,51.389650000000003,16,11,5,9,E01000669,Bromley 020C,E00003200,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"8","25534",8,,,-1.228387154000000,3.000000000000000,-0.960489906000000,3.000000000000000,,,,"18",./0.png
7103,BR2 9TG,ONS,542111,167451,0,0,0.040992270000000,51.388309999999997,66,40,26,32,E01000661,Bromley 026A,E00003196,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,2.271492856000000,4.000000000000000,,,,"72",./4.png
